provincia,codigo_provincia,municipio,codigo_municipio,tipo_via,sigla,denominacion,direccion_completa,barrio
Murcia,30,MURCIA,30,CALLE,CL,GRANJA,"CALLE GRANJA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GRECO,"CALLE GRECO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GRECO,"CALLE GRECO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GRECO,"CALLE GRECO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GRECO,"CALLE GRECO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GREGORIO CONESA,"CALLE GREGORIO CONESA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GREGORIO MARAÑON,"CALLE GREGORIO MARAÑON, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GREGORIO ORDOÑEZ,"CALLE GREGORIO ORDOÑEZ, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GREGORIO PEREZ RODRIGUEZ,"CALLE GREGORIO PEREZ RODRIGUEZ, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GROUCHO MARX,"CALLE GROUCHO MARX, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GRUPO CONSTITUCION,"CALLE GRUPO CONSTITUCION, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GRUPO DANZAS SIETE CORONA,"CALLE GRUPO DANZAS SIETE CORONA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUADALETE,"CALLE GUADALETE, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUADALQUIVIR,"CALLE GUADALQUIVIR, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUADALUPE,"CALLE GUADALUPE, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUADALUPE DE EXTREMADURA,"CALLE GUADALUPE DE EXTREMADURA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUADALUZ,"CALLE GUADALUZ, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUADIANA,"CALLE GUADIANA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUERREROS,"CALLE GUERREROS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,GUILLAMONES,"CALLE GUILLAMONES, MURCIA, Murcia",DESCONOCIDO
